,catapro,dlkcat,mmkcat,turnup,unikp,CatPred
r_0039_ENZ_YDR127W,0.0665085813361522,0.1220603516598138,0.0939129144272385,0.1910168660571491,0.065758694829283,0.0865995808583129
r_0040_ENZ_YDR127W,0.0665085813361522,0.1220603516598138,0.0939129144272385,0.1910168660571491,0.065758694829283,0.0865995808583129
r_0041_ENZ_YBR265W,0.0,0.0,0.0,0.0,0.0,0.0
r_0042_ENZ_YBR249C,0.0,0.0,0.0,0.0,0.0,0.0
r_0042_ENZ_YDR035W,0.0,0.0,0.0,0.0,0.0,0.0
r_0043_ENZ_YPL252C,0.0,0.0,0.0,0.0,0.0,0.0
r_0043_ENZ_YDR376W,0.0,0.0,0.0,0.0,0.0,0.0
r_0044_ENZ_YDR538W_and_YDR539W,0.0,0.0,0.0,0.0,0.0,0.0
r_0045_ENZ_YLR231C,0.0013034229343784,0.0023921163034225,0.0018404880098111,0.0037435133793284,0.0012887267966529,0.001697162644737
r_0057_ENZ_YKR009C,0.0,0.0,0.0,0.0,0.0,0.0
r_0058_ENZ_YJR025C,0.0013034229343784,0.0023921163034225,0.0018404880098111,0.0037435133793284,0.0012887267966529,0.001697162644737
r_0059_ENZ_YER175C,0.0,0.0,0.0,0.0,0.0,0.0
r_0060_ENZ_YGL009C_REV,0.0731092487877898,0.134174274016152,0.1032333345158174,0.2099744018392547,0.0722849395318729,0.0951941865950968
r_0060_ENZ_YGL009C_FWD,0.0,0.0,0.0,0.0,0.0,0.0
r_0061_ENZ_YCL018W,0.0731092487877898,0.1341742740161521,0.1032333345158174,0.2099744018392547,0.0722849395318729,0.0951941865950968
r_0062_ENZ_YGR087C,0.0,0.0,0.0,0.0,0.0,0.0
r_0062_ENZ_YLR044C,0.0,0.0,0.0,0.0,0.0,0.0
r_0062_ENZ_YLR134W,0.0,0.0,0.0,0.0,0.0,0.0
r_0063_ENZ_YBR176W,4.079907192128425e-05,7.487678982265322e-05,5.761000570281283e-05,0.0001171775235598,4.033906100375795e-05,5.31237091036154e-05
r_0064_ENZ_YDL080C,0.0,0.0,0.0,0.0,0.0,0.0
r_0064_ENZ_YGR087C,0.0,0.0,0.0,0.0,0.0,0.0
r_0064_ENZ_YLR044C,0.0,0.0,0.0,0.0,0.0,0.0
r_0064_ENZ_YLR134W,0.0,0.0,0.0,0.0,0.0,0.0
r_0065_ENZ_YDR127W,0.0665085813361522,0.1220603516598138,0.0939129144272385,0.1910168660571491,0.065758694829283,0.0865995808583129
r_0066_ENZ_YNR033W,1.3614006212823992e-05,2.498520269791915e-05,1.922354942461568e-05,3.9100289752264095e-05,1.346050783172792e-05,1.77265430738174e-05
r_0067_ENZ_YMR289W,1.3614006212823992e-05,2.498520269791915e-05,1.922354942461568e-05,3.9100289752264095e-05,1.346050783172792e-05,1.77265430738174e-05
r_0068_ENZ_YGR019W,0.0,0.0,0.0,0.0,0.0,0.0
r_0069_ENZ_YCR053W,0.0,0.0,0.0,0.0,0.0,0.0
r_0070,0.0,0.0,0.0,0.0,0.0,0.0
r_0072_ENZ_YDL080C,0.0,0.0,0.0,0.0,0.0,0.0
r_0073_ENZ_YLR410W,0.0,0.0,0.0,0.0,0.0,0.0
r_0073_ENZ_YOR163W,0.0,0.0,0.0,0.0,0.0,0.0
r_0074_ENZ_YDR017C,0.0,0.0,0.0,0.0,0.0,0.0
r_0075_ENZ_YLR017W,4.0799071921285984e-05,7.487678982265322e-05,5.761000570281283e-05,0.0001171775235598,4.033906100375795e-05,5.31237091036155e-05
r_0076_ENZ_YER037W,0.0,0.0071224798547731,0.0,0.0,0.0,0.0
r_0076_ENZ_YGL224C,0.0,0.0,0.0,0.0,0.0,0.0
r_0077_ENZ_YOR155C,0.0,0.0,0.0,0.0,0.0,0.0
r_0078_ENZ_YER037W,0.0,0.0,0.0,0.0,0.0,0.0
r_0078_ENZ_YGL224C,0.0,0.0,0.0,0.0,0.0,0.0
r_0079_ENZ_YGR061C,0.0219892096454614,0.0403558549607418,0.0310500528141615,0.0631551455477924,0.0217415353350779,0.0286320744674493
r_0080_ENZ_YGL125W_and_YPL023C,0.0426390137286519,0.0781467592228097,0.060180489910796,0.1223886704272268,0.04213302937751,0.0554706467756566
r_0080_ENZ_YGL125W,0.0,0.0,0.0,0.0,0.0,0.0
r_0081_ENZ_YDR232W,0.0,0.0,0.0,0.0,0.0,0.0
r_0082_ENZ_YOR163W,0.0,0.0,0.0,0.0,0.0,0.0
